,name,location,price,reviews,wifi_parking
0,"Hotel Ashrey, Dehradun",Best Seller,"₹ 1,048", 77 reviews,Free Wifi 
1,"Lemon Tree Hotel, Dehradun",29% less than usualBreakfast included,"₹ 7,674₹ 5,286", 753 reviews,Free parking 
2,Hotel Relax,17% less than usualBreakfast included,"₹ 1,811₹ 1,725", 94 reviews,Free Wifi 
3,Hotel City Star,,"₹ 2,464", 48 reviews,Free Wifi 
4,Seyfert Sarovar Premiere,,"₹ 4,703", 219 reviews,Free Wifi 
5,Hotel Sukoon,,"₹ 2,576", 21 reviews,Free Wifi 
6,LEMARQ,,"₹ 3,808", 24 reviews,Free Wifi 
7,Four Points by Sheraton Dehradun,,"₹ 7,235₹ 7,041", 802 reviews,Free Wifi 
8,The Solitaire,,"₹ 6,720", 424 reviews,Free Wifi 
9,Hotel Madhuban,,, 465 reviews,Free parking 
10,Treebo Trend Blessing Bells,,, 70 reviews,Free Wifi 
11,GMS Grand Boutique Hotel,,, 25 reviews,Free Wifi 
12,Inderlok Hotel,,, 165 reviews,Free Wifi 
13,"Hotel Shiva Residency,Dehradun",,, 269 reviews,Free Wifi 
14,Horizon Homestay,,, 94 reviews,Free Wifi 
15,Colonel's Quarters,,, 21 reviews,099990 76551 
16,Divine Paradise Homestay,,, 19 reviews,Free Wifi 
17,Sarovar Portico Dehradun,,, 38 reviews,Free Wifi 
18,Mj Grand Inn,,, 16 reviews,Free Wifi 
19,Hotel Aketa,,, 537 reviews,Free Wifi 
20,Hotel Central Palace,,, 43 reviews,Free Wifi 
21,Hotel Forest Avenue,,, 85 reviews,Free parking 
22,Hotel Grand Legacy,,, 106 reviews,Free Wifi 
23,Red Fox Hotel Dehradun,,, 238 reviews,Visit hotel website 
24,Ramada by Wyndham Dehradun Chakrata Road,,, 417 reviews,0135 253 6666 
25,Hotel Pacific Dehradun,,, 160 reviews,Free Wifi 
26,Hotel Skyking,,, 32 reviews,Free Wifi 
27,Walterre Resort,,, 49 reviews,Free parking 
28,Hotel Boulevard,,, 30 reviews,Free Wifi 
29,Rio Resort,,, 75 reviews,Free parking 
30,Hotel Madhuban,Breakfast included,"₹ 5,759", 465 reviews,Free parking 
31,"Hotel Ashrey, Dehradun",Best Seller,"₹ 1,048", 77 reviews,Free Wifi 
32,"Lemon Tree Hotel, Dehradun",29% less than usualBreakfast included,"₹ 7,674₹ 5,286", 753 reviews,Free parking 
33,Hotel Relax,,"₹ 1,973₹ 1,725", 94 reviews,Free Wifi 
34,Horizon Homestay,,"₹ 1,343", 94 reviews,Free Wifi 
35,Treebo Trend Blessing Bells,,"₹ 4,214₹ 3,522", 70 reviews,Free Wifi 
36,GMS Grand Boutique Hotel,,"₹ 4,744₹ 2,864", 25 reviews,Free Wifi 
37,Hotel City Star,,"₹ 2,464", 48 reviews,Free Wifi 
38,Inderlok Hotel,,"₹ 3,814₹ 2,652", 165 reviews,Free Wifi 
39,Seyfert Sarovar Premiere,,"₹ 4,703", 219 reviews,Free Wifi 
40,"Hotel Shiva Residency,Dehradun",,"₹ 3,472", 269 reviews,Free Wifi 
41,Hotel Sukoon,,"₹ 2,576", 21 reviews,Free Wifi 
42,LEMARQ,,"₹ 3,808", 24 reviews,Free Wifi 
43,Four Points by Sheraton Dehradun,,"₹ 7,235₹ 7,041", 802 reviews,Free Wifi 
44,The Solitaire,,"₹ 6,720", 424 reviews,Free Wifi 
45,Treebo Trend Ajanta Continental,,, 148 reviews,Free Wifi 
46,Colonel's Quarters,,, 21 reviews,099990 76551 
47,Divine Paradise Homestay,,, 19 reviews,Free Wifi 
48,Sarovar Portico Dehradun,,, 38 reviews,Free Wifi 
49,Mj Grand Inn,,, 16 reviews,Free Wifi 
50,Hotel Sumanglam,,, 47 reviews,Free Wifi 
51,Red Fox Hotel Dehradun,,, 238 reviews,Visit hotel website 
52,Ramada by Wyndham Dehradun Chakrata Road,,, 417 reviews,0135 253 6666 
53,Hotel Pacific Dehradun,,, 160 reviews,Free Wifi 
54,Hotel Skyking,,, 32 reviews,Free Wifi 
55,Walterre Resort,,, 49 reviews,Free parking 
56,Hotel Boulevard,,, 30 reviews,Free Wifi 
57,Hotel Central Palace,,, 43 reviews,Free Wifi 
58,Hotel Grand Legacy,,, 106 reviews,Free Wifi 
59,Rio Resort,,, 75 reviews,Free parking 
